"Name","Address > Postal Code","Entity ID","Yext ID"
"Cake Box Blackburn","BB1 6DS","CBS00166","34188393"
"Cake Box Crawley Centre","RH10 1HQ","CBS00184","34188394"
"Cake Box Maidstone","ME15 6AR","CBS00157","34188395"
"Cake Box Harlow","CM20 1XN","CBS00214","34188396"
"Cake Box Welling","DA16 3PY","CBS00106","34188397"
"Cake Box Ealing","W13 9BP","CBS00120","34188398"
"Cake Box Watford","WD24 4AS","CBS00150","34188399"
"Cake Box Pinner","HA5 3HR","CBS00178","34188400"
"Cake Box Manchester (Cheetham Hill","M7 4QJ","CBS00152","34188401"
"Cake Box Luton (Dunstable Rd)","LU4 8BN","CBS00115","34188402"
"Cake Box Peterborough","PE1 2HG","CBS00161","34188403"
"Cake Box Stockport Road Manchester","M13 0SH","CBS00165","34188404"
"Cake Box Plumstead","SE18 1PP","CBS00146","34188405"
"Cake Box South Harrow","HA2 8EB","CBS00149","34188406"
"Cake Box Wembley (Central)","HA0 2AA","CBS00147","34188407"
"Cake Box Southall","UB2 4DQ","CBS00113","34188408"
"Cake Box Wembley (Alperton)","HA0 4LW","CBS00116","34188409"
"Cake Box Southall  (South Road)","UB1 1RR","CBS00141","34188410"
"Cake Box Woking","GU21 6HN","CBS00286","35141482"
"Cake Box Reading","RG30 1AD","CBS00111","35141483"
"Cake Box Amersham","HP6 5BG","CBS00288","35141484"
"Cake Box Dudley","DY2 7BL","CBS00244","35141485"
"Cake Box Catford","SE6 2EF","CBS00227","35141486"
"Cake Box Streatham","SW16 1EX","CBS00289","36794995"
"Cake Box Swansea","SA1 5AE","CBS00291","41456252"
"Cake Box Cardiff West","CF11 9DX","CBS00290","41456253"
"Cake Box Rugby","CV21 3ED","CBS00292","41456254"
"Cake Box St Neots","PE19 1JA","CBS00293","41456255"
"Cake Box Gateshead","NE9 5EX","CBS00294","41456256"
"Cake Box Aylesbury","HP20 1AT","CBS00295","41456257"
"Cake Box Bristol (Redfield)","BS5 9HL","CBS00296","66998406"
"Cake Box Milton Keynes (Brooklands)","MK10 7NG","CBS00297","68688358"
"Cake Box Sheldon","B26 3JB","CBS00298","68688438"
"Cake Box Nottingham Sneinton","NG2 4LQ","CBS00299","68688707"
"Cake Box Morden","SM4 5HT","CBS00300","68690517"
"Cake Box Norwood","SE27 9DJ","CBS00301","68692864"
"Cake Box Camberley","GU17 9AD","CBS00302","69923196"
"Cake Box Camberley Central","GU15 3RS","CBS00303","69923210"
"Cake Box Oxford","OX4 1XF","CBS00304","70062555"
